idx,movie_id,name,year,rating,genre
0,m0,10 things i hate about you,1999,6.90,"['comedy', 'romance']"
1,m1,1492: conquest of paradise,1992,6.20,"['adventure', 'biography', 'drama', 'history']"
2,m2,15 minutes,2001,6.10,"['action', 'crime', 'drama', 'thriller']"
3,m3,2001: a space odyssey,1968,8.40,"['adventure', 'mystery', 'sci-fi']"
4,m4,48 hrs.,1982,6.90,"['action', 'comedy', 'crime', 'drama', 'thriller']"
5,m5,the fifth element,1997,7.50,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
6,m6,8mm,1999,6.30,"['crime', 'mystery', 'thriller']"
7,m7,a nightmare on elm street 4: the dream master,1988,5.20,"['fantasy', 'horror', 'thriller']"
8,m8,a nightmare on elm street: the dream child,1989,4.70,"['fantasy', 'horror', 'thriller']"
9,m9,the atomic submarine,1959,4.90,"['sci-fi', 'thriller']"
10,m10,affliction,1997,6.90,"['drama', 'mystery', 'thriller']"
11,m11,air force one,1997,6.30,"['action', 'drama', 'thriller']"
12,m12,airplane ii: the sequel,1982,5.80,"['comedy', 'romance', 'sci-fi']"
13,m13,airplane!,1980,7.80,"['comedy', 'romance']"
14,m14,alien nation,1988,6.10,"['crime', 'drama', 'sci-fi', 'thriller']"
15,m15,aliens,1986,8.50,"['action', 'sci-fi', 'thriller']"
16,m16,amadeus,1984,8.40,"['biography', 'drama', 'music']"
17,m17,an american werewolf in london,1981,7.50,"['horror', 'romance']"
18,m18,american madness,1932,7.40,['drama']
19,m19,american outlaws,2001,5.70,"['action', 'western']"
20,m20,american psycho,2000,7.40,"['drama', 'thriller']"
21,m21,antitrust,2001,6.00,"['drama', 'thriller']"
22,m22,austin powers: international man of mystery,1997,7.10,"['action', 'adventure', 'comedy', 'crime']"
23,m23,the avengers,1998,3.40,"['action', 'adventure', 'thriller']"
24,m24,bachelor party,1984,5.90,"['comedy', 'romance']"
25,m25,backdraft,1991,6.60,"['action', 'crime', 'drama', 'mystery', 'thriller']"
26,m26,bad lieutenant,1992,6.90,"['crime', 'drama']"
27,m27,bamboozled,2000,6.30,"['comedy', 'drama', 'music']"
28,m28,barry lyndon,1975,8.10,"['drama', 'romance', 'war']"
29,m29,basic,2003,6.30,"['crime', 'drama', 'mystery', 'thriller']"
30,m30,big fish,2003,8.10,"['adventure', 'drama', 'fantasy']"
31,m31,birthday girl,2001,6.00,"['comedy', 'crime', 'romance', 'thriller']"
32,m32,black snake moan,2006,7.10,['drama']
33,m33,black rain,1989/I,6.40,"['action', 'crime', 'drama', 'thriller']"
34,m34,blade runner,1982,8.30,"['drama', 'sci-fi', 'thriller']"
35,m35,blast from the past,1999,6.40,"['comedy', 'drama', 'romance']"
36,m36,blue velvet,1986,7.80,"['crime', 'mystery', 'thriller']"
37,m37,the boondock saints,1999,7.80,"['action', 'crime', 'drama', 'thriller']"
38,m38,bottle rocket,1996,7.20,"['comedy', 'crime']"
39,m39,the bourne supremacy,2004,7.60,"['action', 'adventure', 'mystery', 'thriller']"
40,m40,braveheart,1995,8.40,"['action', 'biography', 'drama', 'history', 'war']"
41,m41,the butterfly effect,2004,7.80,"['drama', 'mystery', 'sci-fi', 'thriller']"
42,m42,casablanca,1942,8.80,"['drama', 'romance', 'war']"
43,m43,cast away,2000,7.50,"['adventure', 'drama']"
44,m44,the cider house rules,1999,7.50,"['drama', 'romance']"
45,m45,confidence,2003,6.80,"['crime', 'thriller']"
46,m46,croupier,1998,7.20,"['crime', 'drama']"
47,m47,dark star,1974,6.50,"['comedy', 'sci-fi', 'thriller']"
48,m48,dark angel,1990,5.30,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
49,m49,detroit rock city,1999,6.50,"['comedy', 'music']"
50,m50,donnie darko,2001,8.30,"['drama', 'mystery', 'sci-fi']"
51,m51,drop dead gorgeous,1999,6.30,"['comedy', 'adult']"
52,m52,duck soup,1933,8.10,"['comedy', 'musical']"
53,m53,the elephant man,1980,8.40,"['biography', 'drama', 'history']"
54,m54,erik the viking,1989,5.90,"['comedy', 'adventure', 'fantasy']"
55,m55,eternal sunshine of the spotless mind,2004,8.50,"['drama', 'romance', 'sci-fi']"
56,m56,even cowgirls get the blues,1993,4.00,"['comedy', 'drama', 'romance', 'western']"
57,m57,event horizon,1997,6.40,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']"
58,m58,fantastic four,2005,5.70,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']"
59,m59,fast times at ridgemont high,1982,7.20,"['comedy', 'drama', 'romance']"
60,m60,fear and loathing in las vegas,1998,7.60,"['drama', 'fantasy']"
61,m61,feast,2005,6.40,"['action', 'comedy', 'horror', 'thriller']"
62,m62,frances,1982,7.20,"['biography', 'drama']"
63,m63,frankenstein,1931,8.00,"['drama', 'horror', 'sci-fi']"
64,m64,friday the 13th,2009,5.60,['horror']
65,m65,from dusk till dawn,1996,7.10,"['action', 'crime', 'horror', 'thriller']"
66,m66,g.i. jane,1997,5.60,"['action', 'drama']"
67,m67,godzilla,1998,4.90,"['action', 'horror', 'sci-fi', 'thriller']"
68,m68,galaxy quest,1999,7.20,"['action', 'adventure', 'comedy', 'sci-fi']"
69,m69,george washington,2000,7.50,['drama']
70,m70,get shorty,1995,6.90,"['comedy', 'crime', 'thriller']"
71,m71,ghost ship,2002,5.30,"['horror', 'mystery', 'thriller']"
72,m72,ghost world,2001,7.70,"['comedy', 'drama']"
73,m73,the ghost and the darkness,1996,6.60,"['adventure', 'drama', 'thriller']"
74,m74,ghostbusters ii,1989,6.10,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']"
75,m75,ghostbusters,1986,6.90,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']"
76,m76,gladiator,2000,8.40,"['action', 'adventure', 'drama']"
77,m77,the graduate,1967,8.20,"['comedy', 'drama', 'romance']"
78,m78,grand hotel,1932,7.70,"['drama', 'romance']"
79,m79,the grifters,1990,7.00,"['crime', 'drama', 'thriller']"
80,m80,halloween h20: 20 years later,1998,5.40,"['drama', 'horror', 'thriller']"
81,m81,halloween: the curse of michael myers,1995,4.50,"['horror', 'thriller']"
82,m82,"happy birthday, wanda june",1971,5.80,"['comedy', 'drama']"
83,m83,hardcore,1979,6.70,['drama']
84,m84,harold and maude,1971,8.10,"['comedy', 'romance']"
85,m85,hellbound: hellraiser ii,1988,6.20,"['drama', 'horror', 'thriller']"
86,m86,hellboy,2004,6.80,"['action', 'adventure', 'fantasy']"
87,m87,hellraiser,1987,7.00,['horror']
88,m88,high fidelity,2000,7.60,"['comedy', 'drama', 'music', 'romance']"
89,m89,highlander,1986,7.20,"['action', 'fantasy']"
90,m90,his girl friday,1940,8.10,"['comedy', 'drama', 'romance']"
91,m91,hope and glory,1987,7.40,"['drama', 'war']"
92,m92,house of 1000 corpses,2003,5.60,['horror']
93,m93,human nature,2001,6.30,"['comedy', 'drama']"
94,m94,the hustler,1961,8.20,"['drama', 'romance', 'sport']"
95,m95,i am legend,2007,7.10,"['drama', 'sci-fi', 'thriller']"
96,m96,invaders from mars,1953,6.40,"['horror', 'sci-fi']"
97,m97,independence day,1996,6.60,"['action', 'adventure', 'sci-fi', 'thriller']"
98,m98,indiana jones and the last crusade,1989,8.30,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']"
99,m99,indiana jones and the temple of doom,1984,7.50,"['action', 'adventure']"
100,m100,innerspace,1987,6.50,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']"
101,m101,the insider,1999,8.00,"['biography', 'drama', 'thriller']"
102,m102,intolerable cruelty,2003,6.40,"['comedy', 'romance', 'crime']"
103,m103,it happened one night,1934,8.30,"['comedy', 'romance']"
104,m104,jfk,1991,8.00,"['biography', 'drama', 'history', 'mystery', 'thriller']"
105,m105,jackie brown,1997,7.60,"['crime', 'drama', 'thriller']"
106,m106,jacob's ladder,1990/I,7.50,"['drama', 'mystery', 'thriller']"
107,m107,jason x,2001,4.40,"['horror', 'sci-fi']"
108,m108,jaws,1975,8.30,['thriller']
109,m109,juno,2007,7.90,"['comedy', 'drama']"
110,m110,kalifornia,1993,6.70,"['crime', 'drama', 'thriller']"
111,m111,kids,1995,6.80,"['crime', 'drama']"
112,m112,knight moves,1992,5.80,"['mystery', 'thriller']"
113,m113,krull,1983,5.90,"['fantasy', 'action', 'adventure', 'sci-fi']"
114,m114,lon,1994,8.60,"['crime', 'drama', 'thriller']"
115,m115,labor of love,1998,4.50,['']
116,m116,leaving las vegas,1995,7.60,"['drama', 'romance']"
117,m117,legally blonde,2001,6.20,['comedy']
118,m118,legend,1985,6.20,"['fantasy', 'adventure', 'romance']"
119,m119,life as a house,2001,7.50,"['drama', 'romance']"
120,m120,the life of david gale,2003,7.30,"['drama', 'crime', 'thriller']"
121,m121,little nicky,2000,5.00,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']"
122,m122,logan's run,1976,6.70,"['action', 'sci-fi']"
123,m123,lost highway,1997,7.60,"['drama', 'horror', 'mystery', 'thriller']"
124,m124,lost horizon,1937,7.80,"['adventure', 'drama', 'fantasy', 'mystery']"
125,m125,men in black,1997,7.00,"['action', 'adventure', 'comedy', 'sci-fi']"
126,m126,minority report,2002,7.70,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
127,m127,made,2001,6.40,"['comedy', 'crime', 'drama', 'thriller']"
128,m128,malcolm x,1992,7.70,"['biography', 'drama', 'history']"
129,m129,man on fire,2004,7.70,"['action', 'crime', 'drama', 'thriller']"
130,m130,marty,1955,7.70,"['drama', 'romance']"
131,m131,mash,1970,7.80,"['comedy', 'war', 'drama']"
132,m132,meet john doe,1941,7.70,"['comedy', 'drama', 'romance']"
133,m133,metro,1997,5.30,"['action', 'comedy', 'crime', 'drama', 'thriller']"
134,m134,metropolis,1927,8.40,"['adventure', 'drama', 'sci-fi']"
135,m135,mighty morphin power rangers,1994,8.20,"['action', 'family']"
136,m136,mobsters,1991,5.50,"['crime', 'drama']"
137,m137,monkeybone,2001,4.50,"['animation', 'comedy', 'fantasy', 'romance']"
138,m138,my mother dreams the satan's disciples in new york,1998,6.70,['short']
139,m139,mr. smith goes to washington,1939,8.40,['drama']
140,m140,mr. deeds goes to town,1936,8.00,"['comedy', 'romance']"
141,m141,mumford,1999,6.80,"['comedy', 'drama']"
142,m142,the mummy,1999,6.90,"['action', 'adventure', 'fantasy']"
143,m143,mystery men,1999,5.90,"['action', 'comedy', 'fantasy']"
144,m144,napoleon,1995,5.50,"['family', 'adventure']"
145,m145,next friday,2000,5.40,['comedy']
146,m146,nick of time,1995,6.20,"['crime', 'drama', 'thriller']"
147,m147,the night of the hunter,1955,8.20,"['drama', 'film-noir', 'thriller']"
148,m148,a nightmare on elm street,1984,7.40,['horror']
149,m149,ninotchka,1939,7.90,"['comedy', 'romance']"
150,m150,nixon,1995,7.10,"['biography', 'drama']"
151,m151,no country for old men,2007,8.30,"['crime', 'drama', 'mystery', 'thriller', 'western']"
152,m152,nurse betty,2000,6.40,"['comedy', 'crime', 'romance', 'thriller']"
153,m153,"o brother, where art thou?",2000,7.80,"['comedy', 'adventure', 'crime', 'music']"
154,m154,an officer and a gentleman,1982,6.80,"['drama', 'romance']"
155,m155,panic room,2002,6.90,['thriller']
156,m156,panther,1995/I,5.90,['drama']
157,m157,the patriot,2000,6.90,"['action', 'drama', 'war']"
158,m158,pet sematary,1989,6.30,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
159,m159,pirates of the caribbean,2003,7.20,"['adventure', 'fantasy', 'horror']"
160,m160,plastic man,1999,6.70,['drama']
161,m161,platinum blonde,1931,6.90,"['comedy', 'romance']"
162,m162,pleasantville,1998,7.50,"['comedy', 'drama', 'fantasy']"
163,m163,punch-drunk love,2002,7.40,"['comedy', 'drama', 'romance']"
164,m164,quills,2000,7.30,"['biography', 'drama', 'history', 'romance']"
165,m165,rko 281,1999,7.10,"['biography', 'drama']"
166,m166,raging bull,1980,8.40,"['biography', 'drama', 'sport']"
167,m167,rear window,1954,8.70,"['crime', 'mystery', 'romance', 'thriller']"
168,m168,rebel without a cause,1955,7.90,"['drama', 'romance']"
169,m169,reindeer games,2000,5.50,"['action', 'crime', 'drama', 'thriller']"
170,m170,reservoir dogs,1992,8.40,"['crime', 'mystery', 'thriller']"
171,m171,roughshod,1949,6.90,"['action', 'drama', 'romance', 'western']"
172,m172,scary movie 2,2001,4.70,['comedy']
173,m173,serial mom,1994,6.40,"['comedy', 'thriller']"
174,m174,the seventh victim,1943,6.90,"['drama', 'horror', 'thriller']"
175,m175,"sex, lies, and videotape",1989,7.10,['drama']
176,m176,shivers,1975,6.50,"['horror', 'sci-fi']"
177,m177,shock treatment,1981,5.40,"['comedy', 'musical']"
178,m178,sideways,2004,7.80,"['comedy', 'drama', 'romance']"
179,m179,signs,2002,6.90,"['drama', 'mystery', 'sci-fi', 'thriller']"
180,m180,silverado,1985,7.00,"['action', 'western']"
181,m181,simone,2010,8.30,"['short', 'drama', 'horror', 'thriller']"
182,m182,the sixth sense,1999,8.20,"['drama', 'mystery', 'thriller']"
183,m183,slash,2002,4.20,"['comedy', 'horror', 'thriller']"
184,m184,slither,2006,6.60,"['comedy', 'horror', 'sci-fi']"
185,m185,smokey and the bandit,1977,6.60,"['action', 'comedy', 'crime', 'romance']"
186,m186,smokin' aces,2006,6.60,"['action', 'crime', 'drama', 'thriller']"
187,m187,solaris,2002,6.20,"['drama', 'mystery', 'romance', 'sci-fi']"
188,m188,someone to watch over me,1987,6.10,"['action', 'crime', 'drama', 'romance', 'thriller']"
189,m189,spider-man,2002,7.40,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']"
190,m190,stalag 17,1953,8.20,"['drama', 'war']"
191,m191,star trek: generations,1994,6.50,"['action', 'mystery', 'sci-fi', 'thriller']"
192,m192,star trek iii: the search for spock,1984,6.50,"['action', 'adventure', 'sci-fi', 'thriller']"
193,m193,star trek: the wrath of khan,1982,7.80,"['action', 'adventure', 'sci-fi', 'thriller']"
194,m194,star trek iv: the voyage home,1986,7.30,"['adventure', 'comedy', 'sci-fi']"
195,m195,star trek: insurrection,1998,6.30,"['action', 'adventure', 'sci-fi', 'thriller']"
196,m196,star trek: first contact,1996,7.60,"['action', 'adventure', 'sci-fi', 'thriller']"
197,m197,star trek vi: the undiscovered country,1991,7.20,"['action', 'mystery', 'sci-fi', 'thriller']"
198,m198,star trek: nemesis,2002,6.40,"['action', 'sci-fi', 'thriller']"
199,m199,starman,1984,6.90,"['adventure', 'drama', 'romance', 'sci-fi']"
200,m200,strange days,1995,7.10,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']"
201,m201,suspect zero,2004,5.80,"['crime', 'horror', 'sci-fi', 'thriller']"
202,m202,swingers,1996,7.60,"['comedy', 'drama']"
203,m203,the godfather,1972,9.20,"['crime', 'drama', 'thriller']"
204,m204,the talented mr. ripley,1999,7.20,"['crime', 'drama', 'thriller']"
205,m205,taxi driver,1976,8.60,"['drama', 'thriller']"
206,m206,the rock,1996,7.30,"['action', 'adventure', 'thriller']"
207,m207,the majestic,2001,6.80,"['drama', 'romance']"
208,m208,the birds,1963,7.90,"['horror', 'romance', 'thriller']"
209,m209,the body snatcher,1945,7.40,"['drama', 'horror', 'thriller']"
210,m210,the crow: salvation,2000,4.70,"['action', 'crime', 'fantasy', 'mystery', 'thriller']"
211,m211,the day the earth stood still,2008,5.50,"['drama', 'sci-fi', 'thriller']"
212,m212,the lost boys,1987,7.00,"['comedy', 'fantasy', 'horror', 'thriller']"
213,m213,the thing,1982,8.20,"['horror', 'mystery', 'sci-fi', 'thriller']"
214,m214,the time machine,2002,5.70,"['sci-fi', 'adventure', 'action']"
215,m215,the jacket,2005,7.10,"['drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']"
216,m216,thelma & louise,1991,7.30,"['crime', 'drama', 'thriller']"
217,m217,there's something about mary,1998,7.20,"['comedy', 'romance']"
218,m218,thirteen days,2000,7.30,"['drama', 'history', 'thriller']"
219,m219,thunderheart,1992,6.60,"['crime', 'mystery', 'thriller', 'western']"
220,m220,top gun,1986,6.50,"['action', 'drama', 'romance']"
221,m221,total recall,1990,7.40,"['action', 'adventure', 'sci-fi', 'thriller']"
222,m222,tremors,1990,7.10,"['action', 'comedy', 'horror', 'thriller']"
223,m223,true believer,1989,6.70,"['drama', 'crime']"
224,m224,twin peaks: fire walk with me,1992,7.00,"['drama', 'horror', 'mystery', 'thriller']"
225,m225,the verdict,1982,7.70,['drama']
226,m226,the war of the worlds,1953,7.10,"['action', 'horror', 'sci-fi', 'thriller']"
227,m227,new nightmare,1994,6.30,"['fantasy', 'horror', 'mystery', 'thriller']"
228,m228,white squall,1996,6.40,"['adventure', 'drama']"
229,m229,wild at heart,1990,7.20,"['crime', 'romance', 'thriller']"
230,m230,wonder boys,2000,7.50,"['drama', 'comedy']"
231,m231,the woodsman,2004,7.40,['drama']
232,m232,the abyss,1989,7.60,"['action', 'adventure', 'drama', 'sci-fi', 'thriller']"
233,m233,l'avventura,1960,7.90,"['drama', 'mystery']"
234,m234,agnes of god,1985,6.50,"['drama', 'mystery', 'thriller']"
235,m235,a hard day's night,1964,7.60,"['comedy', 'music']"
236,m236,alien,1979,8.50,"['adventure', 'horror', 'sci-fi', 'thriller']"
237,m237,alien vs. predator,1993,7.80,"['action', 'adventure', 'sci-fi']"
238,m238,all about eve,1950,8.50,['drama']
239,m239,all the president's men,1976,8.00,"['drama', 'history', 'thriller']"
240,m240,american pie,1999,6.90,"['comedy', 'romance']"
241,m241,an american werewolf in paris,1997,4.90,"['horror', 'romance', 'thriller', 'comedy']"
242,m242,anastasia,1997,6.60,"['animation', 'adventure', 'drama', 'family', 'musical', 'animation', 'family']"
243,m243,annie hall,1977,8.30,"['comedy', 'drama', 'romance']"
244,m244,the anniversary party,2001,6.20,"['drama', 'comedy']"
245,m245,antz,1998,6.80,"['animation', 'adventure', 'comedy', 'family']"
246,m246,the apartment,1960,8.40,"['romance', 'comedy', 'drama']"
247,m247,apocalypse now,1979,8.60,"['drama', 'war']"
248,m248,arctic blue,1993,4.80,"['action', 'thriller']"
249,m249,as good as it gets,1997,7.80,"['comedy', 'drama', 'romance']"
250,m250,assassins,1995,6.00,"['action', 'thriller', 'crime']"
251,m251,asylum,2005,6.10,"['drama', 'romance', 'thriller']"
252,m252,a walk to remember,2002,7.10,"['drama', 'romance']"
253,m253,back to the future,1985,8.40,"['adventure', 'family', 'sci-fi']"
254,m254,badlands,1973,7.90,"['crime', 'drama', 'romance', 'thriller']"
255,m255,the adventures of buckaroo banzai across the 8th dimension,1984,6.00,"['adventure', 'romance', 'comedy', 'sci-fi']"
256,m256,barton fink,1991,7.80,"['drama', 'mystery', 'thriller']"
257,m257,basic instinct,1992,6.90,"['mystery', 'romance', 'thriller']"
258,m258,basquiat,1996,6.70,"['biography', 'drama']"
259,m259,batman returns,1992,6.90,"['action', 'crime', 'fantasy', 'thriller', 'animation', 'crime', 'fantasy', 'action', 'thriller']"
260,m260,batman and robin,1949,6.50,"['action', 'adventure', 'crime', 'drama', 'sci-fi']"
261,m261,batman forever,1995,5.40,"['action', 'crime', 'fantasy', 'thriller']"
262,m262,batman,1989,7.60,"['crime', 'drama', 'thriller', 'action', 'adventure', 'crime']"
263,m263,bean,1997,5.80,"['comedy', 'family']"
264,m264,beavis and butt-head do america,1996,6.60,"['animation', 'adventure', 'comedy', 'crime']"
265,m265,beetle juice,1988,7.30,"['comedy', 'fantasy']"
266,m266,being there,1979,8.00,"['drama', 'comedy']"
267,m267,being john malkovich,1999,7.90,"['comedy', 'drama', 'fantasy', 'romance']"
268,m268,beloved,1998/I,5.60,"['drama', 'mystery']"
269,m269,the big lebowski,1998,8.20,"['comedy', 'crime', 'mystery']"
270,m270,the black dahlia,2006,5.60,"['crime', 'drama', 'history', 'mystery', 'thriller']"
271,m271,blade ii,2002,6.60,"['action', 'fantasy', 'horror', 'thriller', 'action', 'adventure', 'horror']"
272,m272,blade,1998,7.00,"['action', 'adventure', 'fantasy', 'horror', 'thriller']"
273,m273,book of shadows: blair witch 2,2000,4.10,"['crime', 'horror', 'mystery', 'thriller']"
274,m274,blood simple.,1984,7.80,"['crime', 'drama', 'thriller']"
275,m275,bloodmoon,1997,4.50,"['action', 'thriller']"
276,m276,blow,2001,7.40,"['biography', 'crime', 'drama']"
277,m277,la battaglia di algeri,1966,8.20,"['drama', 'history', 'war']"
278,m278,body of evidence,1993,4.10,"['drama', 'romance', 'thriller']"
279,m279,the bridges of madison county,1995,7.20,"['drama', 'romance']"
280,m280,bones,2001,4.00,"['crime', 'horror']"
281,m281,bound,1996,7.50,"['crime', 'drama', 'thriller']"
282,m282,the bourne identity,2002,7.70,"['action', 'adventure', 'mystery', 'thriller']"
283,m283,brazil,1985,8.00,"['drama', 'fantasy', 'sci-fi']"
284,m284,bringing out the dead,1999,6.80,"['drama', 'thriller']"
285,m285,broadcast news,1987,7.10,"['comedy', 'drama', 'romance']"
286,m286,a bucket of blood,1959,6.80,"['comedy', 'horror']"
287,m287,buffy the vampire slayer,1992,5.30,"['horror', 'comedy', 'action']"
288,m288,bull durham,1988,7.00,"['comedy', 'romance', 'sport']"
289,m289,casino,1995,8.10,"['biography', 'crime', 'drama']"
290,m290,catwoman,2004,3.20,"['action', 'crime', 'fantasy']"
291,m291,cellular,2004,6.50,"['action', 'crime', 'thriller']"
292,m292,the crying game,1992,7.30,"['drama', 'thriller']"
293,m293,charade,1963,8.00,"['comedy', 'mystery', 'romance', 'thriller']"
294,m294,cherry falls,2000,4.80,"['horror', 'mystery', 'thriller']"
295,m295,chill factor,1999,4.90,"['action', 'adventure', 'comedy', 'thriller']"
296,m296,chinatown,1974,8.50,"['crime', 'drama', 'mystery', 'thriller']"
297,m297,nuovo cinema paradiso,1988,8.50,"['comedy', 'drama', 'romance']"
298,m298,citizen kane,1941,8.60,"['drama', 'mystery']"
299,m299,clerks.,1994,8.00,['comedy']
300,m300,cliffhanger,1993,6.20,"['action', 'adventure', 'thriller']"
301,m301,a clockwork orange,1971,8.50,"['crime', 'drama', 'sci-fi']"
302,m302,collateral,2004,7.80,"['crime', 'drama', 'thriller']"
303,m303,conspiracy theory,1997,6.50,"['action', 'crime', 'mystery', 'romance', 'thriller']"
304,m304,contact,1997,7.40,"['drama', 'mystery', 'sci-fi', 'thriller']"
305,m305,cool hand luke,1967,8.30,"['crime', 'drama']"
306,m306,copycat,1995,6.50,"['crime', 'mystery', 'thriller']"
307,m307,crash,2004/I,8.00,"['crime', 'drama']"
